   Koraci,     dV(mm),       Tzy(MN)
     1       0.012960       0.000000
     2       0.026006       0.000000
     3       0.039054       0.000000
     4       0.052102       0.000000
     5       0.065150       0.000000
     6       0.078198       0.000000
     7       0.091246       0.000000
     8       0.104294       0.000000
     9       0.117342       0.000000
    10       0.130390       0.000000
    11       0.079701       0.457753
    12      -0.017544       0.590735
    13      -0.121732       0.634620
    14      -0.241126       0.657641
    15      -0.377569       0.661396
    16      -0.530288       0.656973
    17      -0.690641       0.647865
    18      -0.866625       0.634906
    19      -1.041278       0.621328
    20      -1.241418       0.600809
    21      -1.427968       0.584983
    22      -1.626958       0.568143
    23      -1.793072       0.561370
    24      -1.979643       0.550901
    25      -2.177627       0.542273
    26      -2.394652       0.528544
    27      -2.605689       0.517362
    28      -2.831043       0.511457
    29      -3.049138       0.505396
    30      -3.254561       0.504981
    31      -3.461375       0.503039
    32      -3.662571       0.502520
    33      -3.868797       0.499263
    34      -4.065509       0.495688
    35      -4.280359       0.494497
    36      -4.470979       0.492445
    37      -4.686896       0.491588
    38      -4.878427       0.494674
    39      -5.102423       0.496853
    40      -5.296639       0.501953
    41      -5.527191       0.504440
    42      -5.727191       0.507490
    43      -5.954823       0.510669
    44      -6.153336       0.513579
    45      -6.333672       0.518763
    46      -6.505749       0.521018
    47      -6.712604       0.525794
    48      -6.923074       0.525566
    49      -7.127998       0.528578
    50      -7.333840       0.529598
    51      -7.561808       0.533232
    52      -7.757350       0.533176
    53      -7.986643       0.535829
    54      -8.186731       0.536587
    55      -8.391928       0.542091
    56      -8.589876       0.544882
    57      -8.808360       0.545090
    58      -9.027028       0.545154
    59      -9.265505       0.548089
    60      -9.465921       0.548226
